address,district,area,bedrooms,garage,rent,total,zone,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet
Avenida Mario Lopes Leao,Santo Amaro,34,2,1,3250,3697,Sul,True,False,False,False
Avenida Cupece,Jardim Prudencia,31,1,0,1780,2194,Outro,True,False,False,False
Rua Chui,Paraiso,40,1,1,2761,3680,Outro,True,False,False,False
Rua Rubem de Souza,Outros,50,2,1,1428,1903,Outro,True,False,False,False
Rua Fernao Dias,Pinheiros,27,1,0,3000,3591,Oeste,False,False,False,True
Rua Francisca Miquelina,Bela Vista,25,1,0,1644,2147,Centro,False,False,False,True
Rua Comendador Elias Assi,Outros,90,2,2,5500,5812,Outro,False,True,False,False
Alameda Eduardo Prado,Campos Eliseos,50,1,1,1310,2022,Outro,True,False,False,False
Rua da Fonte,Outros,75,2,2,2500,3316,Outro,True,False,False,False
Rua Coronel Graca Martins,Outros,25,1,0,1000,1078,Outro,False,False,False,True
Rua Estado de Israel,Vila Clementino,42,1,1,1700,2455,Outro,True,False,False,False
Av Dr Bernardino B F Carvalho,Outros,73,3,1,2000,2600,Outro,True,False,False,False
Rua Jose Loureiro das Neves,Outros,27,1,0,900,1045,Outro,False,False,False,True
Rua Cayowaa,Perdizes,34,1,0,1400,1935,Oeste,True,False,False,False
Rua Ribeirao Branco,Vila Bertioga,41,2,0,2750,3056,Outro,True,False,False,False
Rua Acarau,Bela Vista,38,1,0,1340,1803,Centro,True,False,False,False
R Vinte E Quaro de Dezembro,Outros,24,1,0,1200,1647,Outro,False,False,False,True
Rua Duarte de Azevedo,Santana,44,1,1,2200,3082,Norte,True,False,False,False
Rua Bocoroca,Outros,54,2,1,1400,2046,Outro,True,False,False,False
Rua Doutor Teodoro Baima,Republica,29,1,0,1300,1750,Outro,False,False,False,True
Rua Caminha de Amorim,Alto de Pinheiros,151,2,0,15000,16140,Outro,False,True,False,False
Largo do Arouche,Republica,30,1,0,3500,4217,Outro,False,False,False,True
Rua Vicenzo Paciulo,Outros,70,2,1,2300,2935,Outro,True,False,False,False
"Jaguare, Sao Paulo - Sp, 05334-080, Brasil",Jaguare,45,1,0,800,834,Outro,False,True,False,False
Rua Caiubi,Perdizes,75,2,0,3000,3493,Oeste,True,False,False,False
Rua do Lavapes,Cambuci,35,1,0,1470,1927,Centro,False,False,False,True
Rua Alvaro Luis Roberto de Assumpcao,Campo Belo,37,1,1,2200,3149,Sul,True,False,False,False
Rua Joao Manuel,Outros,28,1,0,1570,1790,Outro,True,False,False,False
Rua Scuvero,Cambuci,36,1,1,1800,2355,Centro,True,False,False,False
Rua Dulce Sena Guimaraes da Silva,Outros,80,2,0,2800,2949,Outro,False,True,False,False
Viaduto Nove de Julho,Centro,20,1,1,2100,2789,Outro,False,False,False,True
Rua Dom Jose Marcondes,Outros,43,2,1,1740,2313,Outro,True,False,False,False
Rua Araguaia,Outros,18,1,0,720,862,Outro,False,False,False,True
Rua Miguel Sevilio,Outros,70,2,1,2200,3014,Outro,True,False,False,False
Rua Caetano Pinto,Bras,37,1,0,1354,1773,Outro,True,False,False,False
Rua Fabio Ferreira Veloso,Outros,60,1,0,830,865,Outro,False,True,False,False
Rua Horacio Alves da Costa,Outros,66,2,2,2500,3537,Outro,True,False,False,False
Rua Cancioneiro Popular,Santo Amaro,200,3,2,10000,11340,Sul,False,True,False,False
Rua Barao de Jaceguai,Campo Belo,45,1,1,2300,2989,Sul,True,False,False,False
Rua Maria Carolina,Outros,25,1,1,3394,4124,Outro,False,False,False,True
Rua Professor Jose Horacio Meirelles Teixeira,Vila Suzana,73,3,1,2426,3581,Outro,True,False,False,False
Rua Francisco Justino de Azevedo,Aclimacao,65,3,1,3110,3808,Outro,True,False,False,False
Rua Mercedes Salano Castineiras,Outros,57,2,1,1680,2225,Outro,True,False,False,False
Rua Sete de Abril,Republica,42,1,0,1600,2281,Outro,True,False,False,False
Rua Vitoria Regia,Outros,101,3,2,4000,5215,Outro,True,False,False,False
Rua Sampaio Viana,Paraiso,158,4,0,2700,4074,Outro,True,False,False,False
Rua Botocudos,Outros,92,3,1,3500,3635,Outro,False,True,False,False
Rua Fradique Coutinho,Pinheiros,66,1,1,7100,8592,Oeste,True,False,False,False
Rua Doutor Cesario Mota Junior,Vila Buarque,27,1,0,1750,2196,Outro,False,False,False,True
Rua Pascal,Campo Belo,30,1,1,2800,3506,Sul,False,False,False,True
Avenida Sao Joao,Santa Cecilia,41,1,1,1500,1830,Outro,True,False,False,False
Rua Kalil Nader Habr,Vila Santo Estefano,70,3,1,2200,2293,Outro,False,True,False,False
Rua do Arraial,Vila Gumercindo,67,2,1,2480,3293,Outro,True,False,False,False
Rua Francisco Jose da Silva,Vila Andrade,51,2,1,3800,4325,Sul,True,False,False,False
Avenida Alvaro Ramos,Quarta Parada,25,1,0,1100,1142,Outro,False,False,False,True
Rua Conego Arnaldo Caiaffa,Outros,100,2,1,3000,3127,Outro,False,True,False,False
Rua Joao Baldinato,Vila Suzana,69,1,2,2200,3551,Outro,False,False,False,True
Rua Amaral Gurgel,Vila Buarque,35,2,0,1500,2308,Outro,True,False,False,False
Avenida Vereador Jose Diniz,Santo Amaro,45,1,1,2200,3069,Sul,True,False,False,False
Rua Bonifacio Veronese,Outros,55,2,1,1200,1809,Outro,True,False,False,False
Rua Alora,Outros,54,2,1,1836,2327,Outro,True,False,False,False
Rua dos Pinheiros,Pinheiros,30,1,0,4200,4977,Oeste,False,False,False,True
Rua Joaquim Guarani,Jardim das Acacias,19,1,0,2900,3350,Outro,False,False,False,True
Rua Arnaldo Cintra,Outros,48,2,1,1800,2387,Outro,True,False,False,False
Rua Jose Maria Lisboa,Jardim Paulista,45,1,1,2900,4212,Oeste,True,False,False,False
Rua General Jardim,Vila Buarque,26,1,0,2000,2360,Outro,True,False,False,False
Avenida Doutor Ricardo Jafet,Ipiranga,80,3,1,2100,2991,Sul,True,False,False,False
Rua Teera,Outros,70,2,0,2150,2409,Outro,False,True,False,False
Avenida Itaborai,Bosque da Saude,64,2,1,1666,2781,Outro,True,False,False,False
Avenida Paulista,Bela Vista,37,1,1,3000,3604,Centro,True,False,False,False
Rua Santa Cruz do Rio Pardo,Outros,35,1,0,850,887,Outro,False,True,False,False
Rua Doutor Alfredo Ellis,Bela Vista,25,1,0,3780,3828,Centro,False,False,False,True
Avenida Cupece,Jardim Prudencia,37,1,0,1800,2279,Outro,True,False,False,False
Avenida Santo Amaro,Vila Nova Conceicao,26,1,0,3880,4579,Outro,False,False,False,True
Avenida Curio,Outros,44,2,1,1700,2266,Outro,True,False,False,False
Rua Leoncio da Costa Vieira,Outros,39,2,0,3000,3246,Outro,False,False,False,True
Avenida Mofarrej,Vila Leopoldina,69,1,1,7100,8310,Oeste,True,False,False,False
Rua Borges Lagoa,Vila Clementino,25,1,0,1080,1814,Outro,False,False,False,True
Rua Norma Pieruccini Giannotti,Barra Funda,88,2,2,7000,8137,Oeste,True,False,False,False
Rua Santo Antonio,Bela Vista,49,1,1,3100,4137,Centro,False,False,False,True
Avenida Francesco Del Cossa,Outros,62,2,1,2360,2830,Outro,True,False,False,False
Rua Santa Isabel,Vila Buarque,28,1,0,950,1377,Outro,False,False,False,True
Helion Povoa,Vila Olimpia,98,2,1,2584,4198,Outro,True,False,False,False
Rua Vale da Perdiz,Outros,42,1,0,850,887,Outro,False,True,False,False
Rua Simao Alvares,Pinheiros,80,2,1,4500,6122,Oeste,True,False,False,False
Rua Borges Lagoa,Vila Clementino,25,1,0,1320,2217,Outro,True,False,False,False
Rua Domingos Jose Sapienza,Outros,62,3,1,2430,2882,Outro,True,False,False,False
Rua Doutor Cesario Mota Junior,Vila Buarque,24,1,0,1200,1607,Outro,False,False,False,True
Rua Professor Sousa Barros,Vila Guarani (z Sul),89,1,2,3250,4543,Outro,True,False,False,False
Rua General Jardim,Vila Buarque,27,1,0,3000,3576,Outro,False,False,False,True
Avenida Marques de Sao Vicente,Agua Branca,74,3,1,3900,5025,Outro,True,False,False,False
Alameda Franca,Jardim Paulista,77,2,1,5400,6653,Oeste,True,False,False,False
Rua Padre Lebret,Jardim Leonor,80,2,2,3650,5271,Outro,True,False,False,False
Rua Sansao Alves dos Santos,Cidade Moncoes,85,3,1,5320,6617,Outro,True,False,False,False
Rua Luis Asson,Outros,50,1,1,1400,1540,Outro,False,True,False,False
Praca Dom Gastao Liberal Pinto,Itaim Bibi,72,2,1,2980,4358,Oeste,True,False,False,False
Rua Ernani Pinto,Vila Maria Alta,67,3,2,2371,3301,Outro,True,False,False,False
Rua Turiassu,Perdizes,25,1,0,3000,3947,Oeste,False,False,False,True
Avenida Angelica,Bela Vista,70,2,1,2800,4150,Centro,True,False,False,False
Avenida da Paz,Outros,47,2,1,1380,2113,Outro,True,False,False,False
Rua das Sempre-vivas,Jardim das Acacias,23,1,0,2000,2714,Outro,False,False,False,True
Rua Doutor Diogo de Faria,Vila Clementino,27,1,0,3100,3770,Outro,False,False,False,True
Rua Tucuna,Pompeia,67,2,1,3400,4822,Outro,True,False,False,False
Rua Luiz Seraphico Junior,Outros,109,3,2,6500,8084,Outro,True,False,False,False
Rua Ministro Godoi,Perdizes,23,1,0,2900,3695,Oeste,False,False,False,True
Rua Ventura Carneiro,Outros,50,2,1,1200,1736,Outro,True,False,False,False
Rua da Consolacao,Consolacao,62,2,1,2252,2927,Outro,True,False,False,False
Avenida Arruda Botelho,Alto de Pinheiros,92,3,2,5600,8230,Outro,True,False,False,False
Rua Freire Farto,Jabaquara,85,1,1,1600,1847,Sul,False,True,False,False
Rua General Jardim,Vila Buarque,37,1,0,1320,2361,Outro,True,False,False,False
Rua Pascal,Campo Belo,75,2,1,3600,5191,Sul,True,False,False,False
Rua Santa Izabel,Outros,68,3,1,2680,3289,Outro,True,False,False,False
Rua Basilio da Cunha,Outros,85,2,1,3100,4020,Outro,True,False,False,False
Rua Maria Borba,Vila Buarque,35,1,1,1600,2671,Outro,True,False,False,False
Rua Bueno Brandao,Vila Nova Conceicao,100,2,1,5000,7132,Outro,True,False,False,False
Rua Paulistania,Vila Madalena,58,2,1,4950,6220,Outro,True,False,False,False
Rua Jesuino Arruda,Itaim Bibi,54,1,1,3663,5141,Oeste,True,False,False,False
Rua Piratininga,Bras,60,2,1,2272,2968,Outro,True,False,False,False
Avenida Washington Luis,Santo Amaro,38,1,0,1090,1740,Sul,False,False,False,True
Rua Doutor Plinio Barreto,Bela Vista,100,3,1,2200,3574,Centro,True,False,False,False
Rua Doutor Seng,Bela Vista,40,1,1,3300,4632,Centro,True,False,False,False
Rua General Nestor Passos,Jardim Paraiso,40,2,1,2200,2811,Outro,True,False,False,False
Rua Abrahao Jorge Miguel,Outros,64,3,1,1650,2940,Outro,True,False,False,False
Rua Doutor Fleury Silveira,Outros,38,2,0,1150,1538,Outro,True,False,False,False
Rua Ibo,Vila Regente Feijo,80,1,0,1720,1827,Outro,False,True,False,False
Rua Tito,Centro,70,2,2,1699,3009,Outro,True,False,False,False
Rua Nazira Carone,Jardim Ampliacao,41,1,1,1376,2542,Outro,False,False,False,True
Rua Osorio Duque Estrada,Paraiso,57,2,1,4571,6348,Outro,True,False,False,False
Avenida Mazzei,Vila Mazzei,70,3,1,1550,2410,Outro,True,False,False,False
Rua Alves Guimaraes,Pinheiros,74,2,1,3400,4535,Oeste,True,False,False,False
Rua Engenheiro Agenor Machado,Outros,65,1,1,4200,5916,Outro,True,False,False,False
Rua Visconde da Luz,Vila Nova Conceicao,90,1,1,6500,10500,Outro,True,False,False,False
Rua Milton Teixeira de Siqueira,Taboao,140,3,2,1390,1512,Outro,False,True,False,False
Avenida Coronel Sezefredo Fagundes,Tucuruvi,90,3,2,3600,3989,Norte,True,False,False,False
Rua Bandeira Paulista,Itaim Bibi,45,1,0,5500,7584,Oeste,True,False,False,False
Rua Teffe,Santa Maria,100,3,2,2950,3989,Outro,True,False,False,False
Rua Carlos Petit,Vila Mariana,25,1,0,2500,3058,Sul,False,False,False,True
Rua Piraja,Mooca,40,1,0,1050,1288,Leste,False,True,False,False
Rua Bacairis,Vila Formosa,39,1,1,1700,2698,Leste,False,False,False,True
Rua Sansao Alves dos Santos,Cidade Moncoes,70,2,2,4304,6018,Outro,True,False,False,False
Rua Casa do Ator,Vila Olimpia,31,1,1,3696,4817,Outro,False,False,False,True
Rua Ibitirama,Vila Prudente,50,2,1,2277,2788,Leste,True,False,False,False
Rua Bela Cintra,Consolacao,45,2,1,5400,6771,Outro,True,False,False,False
Rua dos Timbiras,Santa Efigenia,42,1,0,1900,2509,Outro,True,False,False,False
Rua Alberto Lohnhoff,Lauzane Paulista,100,3,0,1700,1773,Outro,False,True,False,False
Rua Itza,Outros,50,2,1,1750,2178,Outro,True,False,False,False
Rua Casa do Ator,Vila Olimpia,34,1,1,3696,4891,Outro,False,False,False,True
Rua Anhaia,Bom Retiro,26,1,0,1400,1964,Centro,False,False,False,True
Rua Major Dantas Cortez,Vila Gustavo,42,2,1,1760,2268,Outro,True,False,False,False
Rua Visconde de Inhauma,Vila da Saude,35,1,1,2506,3209,Outro,True,False,False,False
Rua Professor Arnaldo Joao Semeraro,Outros,40,2,0,1200,1647,Outro,True,False,False,False
Rua Marquesa de Santos,Vila Dom Pedro I,43,1,1,2400,3293,Outro,False,False,False,True
Avenida Rouxinol,Indianopolis,42,1,1,2070,3570,Outro,True,False,False,False
Rua Cerqueira Cesar,Centro,28,1,0,738,1069,Outro,False,False,False,True
Rua Coronel Francisco de Oliveira Simoes,Paraiso do Morumbi,68,3,2,1800,2905,Outro,True,False,False,False
Rua Manuel Correia,Vila Palmeiras,70,2,1,2250,2391,Outro,False,True,False,False
Rua Sao Gil,Tatuape,80,2,1,2300,2398,Outro,False,True,False,False
Avenida do Cafe,Outros,45,1,0,1800,2619,Outro,True,False,False,False
Rua Bernardino de Campos,Campo Belo,100,3,2,3000,3249,Sul,False,True,False,False
Rua Professor Pedro da Cunha,Perdizes,20,1,1,1950,2475,Oeste,False,False,False,True
Rua Visconde Parnaiba,Bras,37,1,1,2400,2893,Outro,True,False,False,False
Rua Doutor Augusto de Miranda,Vila Pompeia,61,2,1,4100,5104,Outro,True,False,False,False
Rua Zanzibar,Casa Verde,50,2,0,1700,1920,Norte,True,False,False,False
Rua Bertioga,Chacara Inglesa,39,2,0,2500,3141,Outro,True,False,False,False
Rua Ibitirama,Vila Prudente,26,1,0,1750,2309,Leste,False,False,False,True
Rua Comendador Miguel Calfat,Vila Nova Conceicao,48,1,1,3400,4726,Outro,True,False,False,False
Rua Euclides da Silveira,Casa Verde,50,1,1,2900,3512,Norte,True,False,False,False
Rua Guaratuba,Vila Guarani (z Sul),44,2,1,1700,2400,Outro,True,False,False,False
Rua Joao Adolfo,Centro,50,1,0,2190,2762,Outro,True,False,False,False
Rua Epaminondas Melo do Amaral,Outros,48,2,1,1850,2314,Outro,True,False,False,False
Avenida Lacerda Franco,Cambuci,51,2,1,2650,3640,Centro,True,False,False,False
Avenida Curio,Outros,47,2,1,1900,2447,Outro,True,False,False,False
Rua Iquiririm,Butanta,65,2,2,3000,4246,Outro,True,False,False,False
Rua Martiniano de Carvalho,Bela Vista,35,1,0,1400,1764,Centro,False,False,False,True
Rua Professor Tranquilli,Vila Mariana,80,2,2,4200,5736,Sul,True,False,False,False
Rua Pedro Colaco,Piqueri,73,2,2,1834,2895,Outro,True,False,False,False
Rua Batataes,Jardim Paulista,28,1,1,3450,4775,Oeste,False,False,False,True
Praca Alberto Lion,Cambuci,28,1,0,1600,2012,Centro,True,False,False,False
Rua Teixeira de Melo,Tatuape,30,1,1,2200,2664,Outro,False,False,False,True
Rua Jaguaribe,Vila Buarque,47,2,1,2300,3217,Outro,True,False,False,False
Rua Coronel Francisco Inacio,Outros,56,2,1,2400,3008,Outro,True,False,False,False
Rua Clodomiro de Oliveira,Outros,35,1,1,1597,2039,Outro,True,False,False,False
Avenida Rio Branco,Campos Eliseos,30,1,1,1170,2321,Outro,False,False,False,True
Rua Maria Carolina,Outros,42,1,1,4654,5643,Outro,True,False,False,False
Rua Joao Ventura Batista,Vila Guilherme,67,2,1,2500,3131,Norte,True,False,False,False
Rua Peixoto Gomide,Jardim Paulista,90,3,1,6780,9008,Oeste,True,False,False,False
Rua Ricardo Biondi,Outros,50,2,1,1700,2221,Outro,True,False,False,False
Rua Riskallah Jorge,Centro,28,1,0,1300,1700,Outro,False,False,False,True
Rua Castro Alves,Aclimacao,35,1,0,1217,1771,Outro,False,False,False,True
Rua Padre Joao Manuel,Cerqueira Cesar,80,1,1,5900,7754,Outro,True,False,False,False
Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,60,1,1,2100,3626,Outro,True,False,False,False
Rua Viaza,Jardim Aeroporto,43,1,1,3300,4147,Outro,False,False,False,True
Rua Nebraska,Outros,60,1,1,3702,5339,Outro,True,False,False,False
Rua Oscar Freire,Cerqueira Cesar,80,2,1,8790,10880,Outro,True,False,False,False
Avenida Francisco Rodrigues,Vila Constanca,86,2,1,1250,1618,Outro,True,False,False,False
Rua Adolfo Schnabel,Vila Ema,40,2,0,1200,1562,Outro,True,False,False,False
Rua Paula Ney,Vila Mariana,41,1,0,3800,4462,Sul,True,False,False,False
Rua Moises Marx,Vila Aricanduva,38,2,0,1850,2091,Outro,False,False,False,True
Rua Jaime Costa,Outros,50,2,1,1250,1478,Outro,True,False,False,False
Rua Martim Afonso de Souza,Outros,90,2,2,3300,4099,Outro,True,False,False,False
Avenida Condessa Elisabeth de Robiano,Outros,40,2,1,1400,1904,Outro,True,False,False,False
Rua Dona Veridiana,Outros,40,1,0,1693,2306,Outro,True,False,False,False
Rua Doutor Jesuino Maciel,Campo Belo,69,1,1,5500,7261,Sul,True,False,False,False
Avenida Doutor Francisco Mesquita,Vila Prudente,36,1,1,2000,2407,Leste,True,False,False,False
Rua Luis Louza,Outros,69,2,2,2800,3417,Outro,True,False,False,False
Rua Aida Gomes Toledo,Imirim,48,2,1,1689,2165,Outro,True,False,False,False
Rua Mamanguape,Cidade Mae do Ceu,39,1,1,1860,2205,Outro,True,False,False,False
Avenida Doutor Augusto de Toledo,Outros,65,2,2,3000,4178,Outro,True,False,False,False
Rua Leandro Teixeira,Outros,59,2,1,1550,2334,Outro,True,False,False,False
Rua Itapiru,Saude,70,2,2,3400,4913,Outro,True,False,False,False
Avenida Interlagos,Outros,65,2,1,2800,3992,Outro,True,False,False,False
Rua Francisco Leitao,Pinheiros,60,1,1,5356,6848,Oeste,True,False,False,False
Rua Maria Figueiredo,Paraiso,65,2,1,4000,5311,Outro,True,False,False,False
Rua Reliquia,Outros,69,2,1,1700,2581,Outro,True,False,False,False
Rua Croata,Vila Ipojuca,60,2,2,3300,5074,Outro,True,False,False,False
Praca Carlos Gomes,Liberdade,78,1,0,1600,1762,Centro,True,False,False,False
Rua Almeida Brandao,Vila Guilhermina,60,2,1,1524,1677,Outro,False,True,False,False
Rua Curumatai,Outros,69,1,4,1600,1751,Outro,False,True,False,False
Rua Claudino Pinto,Bras,62,2,1,1428,2046,Outro,True,False,False,False
Rua Abel Ramos,Vila Maria Alta,55,2,0,1600,1740,Outro,False,True,False,False
Alameda Campestre,Outros,44,1,1,2700,3369,Outro,True,False,False,False
Rua Robertson,Cambuci,80,2,0,2700,2814,Centro,False,True,False,False
Rua Salvador Pedroso,Sacoma,65,2,1,2198,2701,Outro,True,False,False,False
Rua Vinte E Cinco de Marco,Centro,52,1,0,1100,1702,Outro,True,False,False,False
Rua Diogo Ortiz,Lapa,140,2,2,3200,3420,Oeste,False,True,False,False
Avenida Joao Simao de Castro,Outros,56,3,1,1420,1644,Outro,True,False,False,False
Rua Costa Aguiar,Ipiranga,37,1,0,2740,3205,Sul,True,False,False,False
Avenida Rangel Pestana,Bras,34,1,0,1900,2264,Outro,True,False,False,False
Avenida Sanatorio,Outros,30,1,1,1030,1114,Outro,False,True,False,False
Rua Bentureli,Outros,200,3,5,3124,3256,Outro,False,True,False,False
Rua Taquarucu,Parque Jabaquara,60,1,1,1400,1494,Outro,True,False,False,False
Rua da Grota,Vila Gustavo,77,2,1,2288,2487,Outro,False,True,False,False
Rua Coronel Marcilio Franco,Vila Isolina Mazzei,45,1,0,1270,1526,Outro,True,False,False,False
Avenida Taruma,Outros,60,3,1,1600,2265,Outro,True,False,False,False
Rua Fontana,Outros,130,2,2,3000,3455,Outro,False,True,False,False
Rua Doutor Cesar Castiglioni Junior,Casa Verde,70,1,0,1800,2089,Norte,False,True,False,False
Rua Luciano Fernandes,Outros,300,3,3,2500,2584,Outro,False,True,False,False
Rua Rodrigo Lobato,Outros,120,3,2,4800,5204,Outro,False,True,False,False
Rua Borges,Parada Inglesa,43,1,0,1196,1296,Outro,False,True,False,False
Rua Amazonas,Outros,40,1,0,1300,1355,Outro,False,True,False,False
Rua Iwajiro Takahashi,Vila Mazzei,103,2,1,2400,2725,Outro,False,False,True,False
Rua Itaoca,Chacara Inglesa,60,2,0,1723,1862,Outro,False,True,False,False
Rua Vacaria,Outros,43,2,1,1174,1419,Outro,True,False,False,False
Avenida Sao Miguel,Outros,20,1,0,990,1233,Outro,False,False,False,True
Rua Marieta Xavier,Outros,60,3,1,1200,1476,Outro,False,True,False,False
Avenida Marcondes de Brito,Outros,38,1,0,1200,1397,Outro,True,False,False,False
Rua Pretoria,Vila Formosa,125,3,3,3500,3898,Leste,False,True,False,False
Rua Doutor Roberto Feijo,Outros,140,3,2,2900,2993,Outro,False,True,False,False
Rua Gurupi,Outros,90,3,2,2500,2706,Outro,False,True,False,False
Rua General Jardim,Vila Buarque,36,1,0,1220,1565,Outro,False,False,False,True
Rua Cayowaa,Sumare,41,1,1,2704,3180,Outro,False,True,False,False
Rua Joao Pereira,Lapa,36,2,0,1500,1950,Oeste,True,False,False,False
Rua Queriri,Outros,75,3,1,2800,3066,Outro,True,False,False,False
Rua Cabo Antonio Pinton,Outros,55,2,1,1650,2063,Outro,True,False,False,False
Rua Coronel Gustavo Santiago,Outros,44,2,0,2550,2799,Outro,False,False,False,True
Rua Jose Rangel de Camargo,Outros,60,2,0,1200,1388,Outro,True,False,False,False
Rua Doutor Edson de Melo,Vila Maria Alta,70,2,0,1700,1893,Outro,False,True,False,False
Rua Nova Brasilia,Outros,52,2,1,1400,1733,Outro,True,False,False,False
Rua Almeria,Outros,36,1,0,1450,1806,Outro,True,False,False,False
Rua Cachoeira do Sul,Outros,58,2,1,1957,2532,Outro,True,False,False,False
Rua Henrique Casela,Outros,48,2,1,1450,1806,Outro,True,False,False,False
Rua Barao de Iguape,Liberdade,45,2,1,1900,2397,Centro,True,False,False,False
Rua Visconde de Parnaiba,Mooca,26,1,0,1500,1907,Leste,False,False,False,True
Rua Marques de Lages,Outros,66,3,1,1400,2114,Outro,True,False,False,False
Rua Parana,Bras,46,1,1,2205,2747,Outro,True,False,False,False
Rua Vicenzo Paciulo,Outros,42,2,1,1800,2241,Outro,True,False,False,False
Rua Francisco Pessoa,Vila Andrade,83,2,2,3260,4392,Sul,True,False,False,False
Rua Coelho Barradas,Outros,31,1,0,1985,2362,Outro,True,False,False,False
Rua Orindiuva,Vila Maria Alta,70,2,1,1874,2061,Outro,False,True,False,False
Rua Guaianases,Campos Eliseos,40,1,0,1800,2099,Outro,False,False,False,True
Rua Joaquim Ferreira,Agua Branca,60,2,1,3500,4686,Outro,True,False,False,False
Rua do Oratorio,Mooca,45,2,1,2400,3138,Leste,True,False,False,False
Rua Domingos Paiva,Bras,62,2,1,4500,5584,Outro,True,False,False,False
Rua Augusto Viana de Castelo,Outros,80,3,0,1432,1493,Outro,False,True,False,False
Rua Americo Garibaldi,Outros,50,1,0,1100,1237,Outro,False,True,False,False
Rua Sergio Tomas,Bom Retiro,45,2,0,1327,1697,Centro,True,False,False,False
Avenida Ipiranga,Republica,40,1,0,1650,2080,Outro,False,False,False,True
Rua Carapocaia,Vila Isolina Mazzei,60,2,0,1610,1678,Outro,False,True,False,False
Rua Bresser,Bras,53,2,1,2800,3358,Outro,True,False,False,False
Avenida Prestes Maia,Centro,51,1,0,1100,1581,Outro,False,False,False,True
Avenida Sanatorio,Outros,30,1,0,998,1080,Outro,False,True,False,False
Rua Maragojipe,Outros,42,1,0,1250,1498,Outro,True,False,False,False
Rua Augusta,Consolacao,50,1,0,1617,2102,Outro,True,False,False,False
Rua Benvinda Aparecida de Abreu Leme,Santana,25,1,1,2298,2622,Norte,False,False,False,True
Rua Vilela,Tatuape,70,2,2,2700,3871,Outro,True,False,False,False
Rua Gloria do Goita,Outros,50,2,1,1400,2046,Outro,True,False,False,False
Rua Franklin do Amaral,Vila Nova Cachoeirinha,45,2,1,1600,1662,Norte,True,False,False,False
Rua Frei Inacio da Conceicao,Outros,140,2,3,2900,3153,Outro,False,True,False,False
Rua Girassol,Vila Madalena,40,1,1,3500,4521,Outro,True,False,False,False
Rua Santa Lucia,Cidade Mae do Ceu,22,0,0,1000,1263,Outro,True,False,False,False
Rua do Lavapes,Cambuci,30,1,0,1500,1850,Centro,True,False,False,False
Rua Rio Grande,Vila Mariana,85,1,1,2700,3865,Sul,True,False,False,False
Rua Coelho Neto,Vila Prudente,36,1,0,850,883,Leste,False,False,False,True
Rua Maria Candida,Vila Guilherme,100,3,2,2887,3009,Norte,False,True,False,False
Praca Julio Mesquita,Santa Efigenia,70,2,0,3500,4135,Outro,True,False,False,False
Rua Silvino de Godoy,Outros,60,2,0,1400,1671,Outro,True,False,False,False
Rua Serra da Bocaina,Quarta Parada,50,2,1,2500,2981,Outro,True,False,False,False
Rua Indaia,Vila Prudente,75,3,1,2350,3318,Leste,True,False,False,False
Rua Jose Loureiro das Neves,Outros,40,1,1,3500,3815,Outro,False,False,False,True
Avenida Politecnica,Outros,55,2,1,1600,2439,Outro,True,False,False,False
Praca Marechal Deodoro,Santa Cecilia,79,2,0,2500,3026,Outro,True,False,False,False
Rua Conselheiro Nebias,Campos Eliseos,43,1,0,900,1403,Outro,False,False,False,True
Rua Glicerio,Liberdade,45,2,1,2580,3283,Centro,True,False,False,False
Rua Alencar Araripe,Sacoma,55,2,1,1600,2137,Outro,True,False,False,False
Rua Dom Estevao Pimentel,Chacara Belenzinho,64,2,2,2415,3078,Outro,False,False,True,False
Rua Emboacava,Parque da Mooca,45,1,1,2160,2292,Outro,False,True,False,False
Rua Eugenio Pradez,Outros,45,1,0,1280,1370,Outro,True,False,False,False
R. Soror Angelica,Outros,98,3,1,3300,4792,Outro,True,False,False,False
Rua Chile,Outros,40,1,0,1300,1350,Outro,False,False,False,True
Rua Costa Aguiar,Ipiranga,110,3,2,5500,5993,Sul,False,True,False,False
Avenida Doutor Washington Luiz,Rudge Ramos,48,2,1,1700,2129,Outro,True,False,False,False
Rua Luis do Paco,Tatuape,41,1,0,950,1567,Outro,True,False,False,False
Avenida Carlos Ferreira Endres,Outros,50,2,1,2200,2798,Outro,True,False,False,False
Rua dos Tres Irmaos,Outros,76,3,1,2700,3761,Outro,True,False,False,False
Avenida Ipiranga,Republica,33,1,1,1830,2241,Outro,False,False,False,True
Avenida Rubens Fraga de Toledo Arruda,Outros,45,1,0,1200,1251,Outro,False,True,False,False
Rua Mafalda,Chacara Belenzinho,60,1,0,1380,1513,Outro,False,True,False,False
Rua Domingos Lopes da Silva,Vila Suzana,54,1,1,2620,3553,Outro,False,False,False,True
Rua Costa Carvalho,Pinheiros,70,2,0,2600,3361,Oeste,True,False,False,False
Rua Bento Freitas,Republica,36,1,0,1900,2403,Outro,False,False,False,True
Rua Hemisferio,Chacara Belenzinho,61,3,1,1985,2275,Outro,False,False,True,False
Rua Guarapuava,Mooca,52,2,1,3070,3916,Leste,True,False,False,False
Rua Maria do Carmo,Vila Alpina,42,2,0,2000,2211,Outro,True,False,False,False
